,country,continent,Average Points,Average Price,Total Number of Wines
0,Morocco,AF,88.45,19.3,40
1,South Africa,AF,87.4385269121813,22.426628895184137,3530
2,Armenia,AS,87.5,14.5,2
3,China,AS,83.75,19.75,4
4,Cyprus,AS,86.21428571428571,15.69047619047619,42
5,Georgia,AS,86.94488188976378,19.070866141732285,127
6,India,AS,89.0,13.588235294117647,17
7,Israel,AS,87.75250227479526,31.511373976342128,1099
8,Japan,AS,85.0,24.0,2
9,Lebanon,AS,86.66666666666667,27.98611111111111,72
10,South Korea,AS,81.5,13.5,4
11,Turkey,AS,88.10714285714286,25.05,140
12,Albania,EU,88.0,20.0,2
13,Austria,EU,89.72074971601666,30.964596743657705,5282
14,Bosnia and Herzegovina,EU,85.33333333333333,12.666666666666666,6
15,Bulgaria,EU,87.06422018348624,13.55045871559633,218
16,Croatia,EU,86.8896103896104,24.18831168831169,154
17,Czech Republic,EU,86.77777777777777,22.166666666666668,18
18,France,EU,88.67513282761585,43.17370473879795,32561
19,Germany,EU,89.19229908215804,40.55182449070965,4467
20,Greece,EU,86.51312828207051,21.96099024756189,1333
21,Hungary,EU,88.024,42.82933333333333,375
22,Italy,EU,88.52706033951482,38.550422992884755,35698
23,Lithuania,EU,84.25,10.0,8
24,Luxembourg,EU,87.66666666666667,33.733333333333334,15
25,Moldova,EU,85.84615384615384,15.992307692307692,130
26,Montenegro,EU,82.0,10.0,2
27,Portugal,EU,88.25212683681362,26.27101977682024,9051
28,Romania,EU,85.60617760617761,15.86100386100386,259
29,Serbia,EU,87.61538461538461,24.384615384615383,26
30,Slovakia,EU,84.5,15.5,4
31,Slovenia,EU,88.09316770186335,26.4472049689441,161
32,Spain,EU,86.92961379216725,27.56906264847621,14733
33,Switzerland,EU,88.0909090909091,63.90909090909091,11
34,Ukraine,EU,84.21052631578948,10.210526315789474,19
35,United Kingdom,EU,91.67532467532467,51.246753246753244,77
36,Canada,NA,88.87723214285714,35.24330357142857,448
37,Mexico,NA,85.02255639097744,27.8796992481203,133
38,United States,NA,88.16645476100477,35.0148878045428,116404
39,Australia,OC,88.1093489148581,32.592237061769616,7188
40,New Zealand,OC,87.77990107913669,25.027877697841728,4448
41,Argentina,SA,86.28620357486889,22.28845124692283,9343
42,Brazil,SA,84.16666666666667,22.430555555555557,72
43,Chile,SA,86.38355760730774,19.97033690207249,10181
44,Peru,SA,83.5625,18.0625,16
45,Uruguay,SA,85.78350515463917,26.15979381443299,194
